Version,File Name,LOC,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,Age,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,87,4,0,4,235,137,137,137,35,Yes
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,182,5,1,5,340,252,244,252,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,722,15,9,15,1791,545,1571,545,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,58,4,1,4,202,81,173,81,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,121,5,2,5,363,168,348,168,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,329,10,5,10,1120,487,958,487,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,125,6,1,6,334,124,328,124,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,437,8,4,8,1157,536,1087,536,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,95,6,2,6,301,133,282,133,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,128,4,1,4,315,151,308,151,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,83,2,0,2,294,147,294,147,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,29,6,2,6,395,126,263,126,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,208,5,1,5,529,249,520,249,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,189,10,5,10,1450,410,958,410,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,353,6,4,6,931,714,728,714,5,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,123,5,1,5,416,204,409,204,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,25,3,0,3,103,50,100,50,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,108,6,0,6,391,184,369,184,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,6,4,0,4,127,61,122,61,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,77,9,5,9,377,167,324,167,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,24,5,1,5,172,80,161,80,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,40,4,0,4,216,83,167,83,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,442,13,7,13,2009,547,1309,547,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,140,8,3,8,486,198,446,198,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,103,10,6,10,372,140,309,140,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,115,7,3,7,402,178,374,178,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,36,5,1,5,143,67,134,67,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,100,5,1,5,320,138,303,138,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,111,5,1,5,363,170,343,170,35,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,66,6,4,6,127,101,103,101,18,Yes
