Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeperProportion_without_duplicated_lines,1,0.016,0.727,0.807,RandomForest,NONE,NONE,NONE,189.0,34.0,16.0,20.0,0.848,0.904,0.594,0.251
bookkeeperProportion_without_duplicated_lines,1,0.016,0.727,0.807,NaiveBayes,NONE,NONE,NONE,110.0,2.0,48.0,99.0,0.982,0.526,0.745,0.28
bookkeeperProportion_without_duplicated_lines,1,0.016,0.727,0.807,Ibk,NONE,NONE,NONE,106.0,14.0,36.0,103.0,0.883,0.507,0.614,0.135
bookkeeperProportion_without_duplicated_lines,2,0.035,0.769,0.749,RandomForest,NONE,NONE,NONE,276.0,53.0,46.0,20.0,0.839,0.932,0.873,0.447
bookkeeperProportion_without_duplicated_lines,2,0.035,0.769,0.749,NaiveBayes,NONE,NONE,NONE,156.0,3.0,96.0,140.0,0.981,0.527,0.861,0.34
bookkeeperProportion_without_duplicated_lines,2,0.035,0.769,0.749,Ibk,NONE,NONE,NONE,282.0,66.0,33.0,14.0,0.81,0.953,0.694,0.347
bookkeeperProportion_without_duplicated_lines,3,0.062,0.76,0.753,RandomForest,NONE,NONE,NONE,181.0,27.0,42.0,29.0,0.87,0.862,0.812,0.466
bookkeeperProportion_without_duplicated_lines,3,0.062,0.76,0.753,NaiveBayes,NONE,NONE,NONE,75.0,4.0,65.0,135.0,0.949,0.357,0.788,0.183
bookkeeperProportion_without_duplicated_lines,3,0.062,0.76,0.753,Ibk,NONE,NONE,NONE,182.0,31.0,38.0,28.0,0.854,0.867,0.757,0.424
bookkeeperProportion_without_duplicated_lines,4,0.082,0.759,0.804,RandomForest,NONE,NONE,NONE,225.0,20.0,42.0,29.0,0.918,0.886,0.921,0.534
bookkeeperProportion_without_duplicated_lines,4,0.082,0.759,0.804,NaiveBayes,NONE,NONE,NONE,94.0,1.0,61.0,160.0,0.989,0.37,0.854,0.18
bookkeeperProportion_without_duplicated_lines,4,0.082,0.759,0.804,Ibk,NONE,NONE,NONE,247.0,41.0,21.0,7.0,0.858,0.972,0.908,0.393
bookkeeperProportion_without_duplicated_lines,5,0.104,0.768,0.797,RandomForest,NONE,NONE,NONE,253.0,20.0,49.0,18.0,0.927,0.934,0.926,0.651
bookkeeperProportion_without_duplicated_lines,5,0.104,0.768,0.797,NaiveBayes,NONE,NONE,NONE,173.0,2.0,67.0,98.0,0.989,0.638,0.878,0.401
bookkeeperProportion_without_duplicated_lines,5,0.104,0.768,0.797,Ibk,NONE,NONE,NONE,269.0,41.0,28.0,2.0,0.868,0.993,0.9,0.505
bookkeeperProportion_without_duplicated_lines,6,0.128,0.774,0.55,RandomForest,NONE,NONE,NONE,288.0,201.0,55.0,25.0,0.589,0.92,0.74,0.144
bookkeeperProportion_without_duplicated_lines,6,0.128,0.774,0.55,NaiveBayes,NONE,NONE,NONE,194.0,109.0,147.0,119.0,0.64,0.62,0.589,0.193
bookkeeperProportion_without_duplicated_lines,6,0.128,0.774,0.55,Ibk,NONE,NONE,NONE,280.0,212.0,44.0,33.0,0.569,0.895,0.547,0.071
bookkeeperProportion_without_duplicated_lines,7,0.168,0.72,0.704,RandomForest,NONE,NONE,NONE,216.0,35.0,66.0,24.0,0.861,0.9,0.87,0.571
bookkeeperProportion_without_duplicated_lines,7,0.168,0.72,0.704,NaiveBayes,NONE,NONE,NONE,39.0,0.0,101.0,201.0,1.0,0.163,0.745,0.103
bookkeeperProportion_without_duplicated_lines,7,0.168,0.72,0.704,Ibk,NONE,NONE,NONE,156.0,48.0,53.0,84.0,0.765,0.65,0.649,0.158
bookkeeperProportion_without_duplicated_lines,8,0.192,0.718,0.537,RandomForest,NONE,NONE,NONE,273.0,161.0,105.0,35.0,0.629,0.886,0.801,0.29
bookkeeperProportion_without_duplicated_lines,8,0.192,0.718,0.537,NaiveBayes,NONE,NONE,NONE,67.0,28.0,238.0,241.0,0.705,0.218,0.621,0.106
bookkeeperProportion_without_duplicated_lines,8,0.192,0.718,0.537,Ibk,NONE,NONE,NONE,264.0,178.0,88.0,44.0,0.597,0.857,0.609,0.195
bookkeeperProportion_without_duplicated_lines,9,0.233,0.687,0.647,RandomForest,NONE,NONE,NONE,242.0,85.0,73.0,48.0,0.74,0.834,0.699,0.313
bookkeeperProportion_without_duplicated_lines,9,0.233,0.687,0.647,NaiveBayes,NONE,NONE,NONE,75.0,7.0,151.0,215.0,0.915,0.259,0.788,0.165
bookkeeperProportion_without_duplicated_lines,9,0.233,0.687,0.647,Ibk,NONE,NONE,NONE,252.0,101.0,57.0,38.0,0.714,0.869,0.671,0.253
bookkeeperProportion_without_duplicated_lines,10,0.264,0.682,0.75,RandomForest,NONE,NONE,NONE,180.0,23.0,47.0,30.0,0.887,0.857,0.866,0.512
bookkeeperProportion_without_duplicated_lines,10,0.264,0.682,0.75,NaiveBayes,NONE,NONE,NONE,50.0,0.0,70.0,160.0,1.0,0.238,0.772,0.135
bookkeeperProportion_without_duplicated_lines,10,0.264,0.682,0.75,Ibk,NONE,NONE,NONE,199.0,38.0,32.0,11.0,0.84,0.948,0.837,0.464
bookkeeperProportion_without_duplicated_lines,11,0.284,0.687,0.548,RandomForest,NONE,NONE,NONE,247.0,197.0,7.0,0.0,0.556,1.0,0.653,0.037
bookkeeperProportion_without_duplicated_lines,11,0.284,0.687,0.548,NaiveBayes,NONE,NONE,NONE,243.0,175.0,29.0,4.0,0.581,0.984,0.522,0.136
bookkeeperProportion_without_duplicated_lines,11,0.284,0.687,0.548,Ibk,NONE,NONE,NONE,247.0,191.0,13.0,0.0,0.564,1.0,0.532,0.069
bookkeeperProportion_without_duplicated_lines,12,0.316,0.673,0.501,RandomForest,NONE,NONE,NONE,52.0,19.0,206.0,174.0,0.732,0.23,0.629,0.145
bookkeeperProportion_without_duplicated_lines,12,0.316,0.673,0.501,NaiveBayes,NONE,NONE,NONE,142.0,159.0,66.0,84.0,0.472,0.628,0.43,-0.078
bookkeeperProportion_without_duplicated_lines,12,0.316,0.673,0.501,Ibk,NONE,NONE,NONE,126.0,141.0,84.0,100.0,0.472,0.558,0.465,-0.069
bookkeeperProportion_without_duplicated_lines,13,0.348,0.657,0.4,RandomForest,NONE,NONE,NONE,136.0,111.0,227.0,89.0,0.551,0.604,0.709,0.272
bookkeeperProportion_without_duplicated_lines,13,0.348,0.657,0.4,NaiveBayes,NONE,NONE,NONE,204.0,331.0,7.0,21.0,0.381,0.907,0.601,-0.059
bookkeeperProportion_without_duplicated_lines,13,0.348,0.657,0.4,Ibk,NONE,NONE,NONE,12.0,6.0,332.0,213.0,0.667,0.053,0.518,0.042
bookkeeperProportion_without_duplicated_lines,14,0.387,0.631,0.392,RandomForest,NONE,NONE,NONE,199.0,78.0,273.0,27.0,0.718,0.881,0.921,0.633
bookkeeperProportion_without_duplicated_lines,14,0.387,0.631,0.392,NaiveBayes,NONE,NONE,NONE,131.0,232.0,119.0,95.0,0.361,0.58,0.496,-0.073
bookkeeperProportion_without_duplicated_lines,14,0.387,0.631,0.392,Ibk,NONE,NONE,NONE,145.0,108.0,243.0,81.0,0.573,0.642,0.667,0.327
bookkeeperProportion_without_duplicated_lines,15,0.428,0.608,0.327,RandomForest,NONE,NONE,NONE,156.0,68.0,328.0,36.0,0.696,0.813,0.901,0.614
bookkeeperProportion_without_duplicated_lines,15,0.428,0.608,0.327,NaiveBayes,NONE,NONE,NONE,160.0,357.0,39.0,32.0,0.309,0.833,0.585,-0.047
bookkeeperProportion_without_duplicated_lines,15,0.428,0.608,0.327,Ibk,NONE,NONE,NONE,119.0,138.0,258.0,73.0,0.463,0.62,0.636,0.25
bookkeeperProportion_without_duplicated_lines,16,0.469,0.583,0.135,RandomForest,NONE,NONE,NONE,143.0,424.0,732.0,37.0,0.252,0.794,0.801,0.224
bookkeeperProportion_without_duplicated_lines,16,0.469,0.583,0.135,NaiveBayes,NONE,NONE,NONE,180.0,1133.0,23.0,0.0,0.137,1.0,0.732,0.005
