@relation openjpaProportion-weka.filters.unsupervised.attribute.SwapValues-Clast-Ffirst-Slast-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute LOC numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute Buggy {Yes,No}

@data

1,23,7,0,6,396,167,363,167,29,No
1,35,4,0,4,92,54,69,54,29,Yes
1,30,5,0,5,86,62,62,62,43,No
1,58,4,0,4,123,100,100,100,43,Yes
1,105,6,0,6,238,211,212,211,43,Yes
1,120,6,0,6,286,257,258,257,43,Yes
1,66,6,0,6,174,147,148,147,43,Yes
1,21,5,0,5,73,49,50,49,43,No
1,92,7,0,7,652,609,602,609,43,Yes
1,654,13,0,13,966,900,880,900,43,Yes
1,23,10,0,10,99,50,48,50,43,Yes
1,27,4,0,4,81,58,58,58,43,No
1,93,6,0,6,185,158,159,158,43,Yes
1,28,6,0,6,88,65,60,65,43,Yes
1,62,5,0,5,159,135,135,135,43,No
1,98,7,1,7,303,189,168,189,43,Yes
1,251,7,0,7,454,384,366,384,43,Yes
1,160,9,0,9,303,262,259,262,43,Yes
1,9,4,0,4,55,32,32,32,43,No
1,179,10,1,10,297,233,243,233,43,Yes
1,6,4,0,4,65,42,42,42,43,No
1,73,6,0,6,153,127,126,127,43,Yes
1,23,5,0,5,84,58,58,58,43,Yes
1,104,6,0,6,194,168,169,168,43,Yes
1,32,10,1,10,247,164,172,164,43,Yes
1,245,13,1,13,498,285,322,285,43,Yes
1,9,4,0,4,69,46,46,46,43,Yes
1,8,4,0,4,61,38,38,38,43,No
1,22,8,0,8,131,106,94,106,43,Yes
1,973,21,3,21,1819,1458,1384,1458,43,Yes
1,458,14,2,14,866,636,639,636,43,Yes
1,7,4,0,4,66,43,43,43,43,No
1,349,5,0,5,489,457,455,457,43,Yes
1,210,8,1,8,408,369,364,369,43,Yes
1,139,7,3,7,397,217,218,217,43,Yes
1,286,10,2,10,542,445,438,445,43,Yes
1,118,6,1,6,221,177,177,177,43,Yes
1,8,4,0,4,67,44,44,44,43,No
1,79,7,0,7,164,129,124,129,43,Yes
1,35,6,0,6,117,70,77,70,43,No
1,85,5,0,5,152,129,128,129,43,Yes
1,187,9,0,9,357,263,256,263,43,Yes
1,104,5,0,5,191,166,156,166,43,Yes
1,402,10,1,10,748,625,632,625,43,Yes
1,6,4,0,4,63,40,40,40,43,No
1,115,4,0,4,223,200,200,200,43,Yes
1,38,13,0,9,243,68,119,60,45,Yes
1,45,8,0,8,126,61,78,61,43,Yes
1,55,17,0,12,495,192,257,192,45,No
1,27,10,0,7,188,56,90,49,45,No
1,34,14,0,10,299,91,149,91,45,No
1,27,10,0,7,186,55,89,48,45,No
1,46,14,0,10,482,178,274,178,45,Yes
1,31,11,0,8,209,62,103,56,45,Yes
1,14,4,0,4,69,31,46,31,36,No
1,34,13,0,10,297,79,146,79,45,No
1,43,14,0,10,315,83,162,81,45,No
1,81,8,0,8,213,134,128,134,43,Yes
1,46,14,0,10,333,101,173,101,45,No
1,34,16,0,12,443,171,215,171,45,Yes
1,126,9,0,9,329,211,190,211,43,Yes
1,63,7,0,7,159,83,104,83,43,No
1,35,7,0,7,119,77,67,77,43,No
1,142,7,0,7,269,178,203,178,43,Yes
1,41,14,0,10,272,74,141,69,45,No
1,12,11,0,8,180,46,86,46,45,No
1,20,13,0,10,202,56,101,56,45,Yes
1,15,13,0,10,235,70,108,70,45,Yes
1,35,15,0,12,258,78,109,71,45,No
1,21,7,0,7,93,57,48,57,43,No
1,12,13,0,10,395,202,233,202,45,No
1,11,13,0,10,222,75,113,75,45,Yes
1,38,15,0,10,299,83,135,83,45,Yes
1,16,4,0,4,76,38,53,38,36,Yes
