Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,RandomForest,NONE,NONE,NONE,39.0,3.0,229.0,520.0,0.929,0.07,0.748,0.034
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,NaiveBayes,NONE,NONE,NONE,115.0,5.0,227.0,444.0,0.958,0.206,0.669,0.119
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,Ibk,NONE,NONE,NONE,127.0,8.0,224.0,432.0,0.941,0.227,0.596,0.126
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,RandomForest,NONE,NONE,NONE,455.0,81.0,69.0,99.0,0.849,0.821,0.733,0.27
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,NaiveBayes,NONE,NONE,NONE,292.0,9.0,141.0,262.0,0.97,0.527,0.79,0.289
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,Ibk,NONE,NONE,NONE,295.0,30.0,120.0,259.0,0.908,0.532,0.672,0.214
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,RandomForest,NONE,NONE,NONE,348.0,51.0,60.0,52.0,0.872,0.87,0.865,0.409
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,NaiveBayes,NONE,NONE,NONE,130.0,4.0,107.0,270.0,0.97,0.325,0.777,0.155
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,Ibk,NONE,NONE,NONE,378.0,86.0,25.0,22.0,0.815,0.945,0.823,0.215
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,RandomForest,NONE,NONE,NONE,395.0,64.0,52.0,37.0,0.861,0.914,0.884,0.396
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,NaiveBayes,NONE,NONE,NONE,156.0,7.0,109.0,276.0,0.957,0.361,0.782,0.163
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,Ibk,NONE,NONE,NONE,428.0,99.0,17.0,4.0,0.812,0.991,0.852,0.196
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,RandomForest,NONE,NONE,NONE,906.0,65.0,44.0,164.0,0.933,0.847,0.786,0.178
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,NaiveBayes,NONE,NONE,NONE,452.0,15.0,94.0,618.0,0.968,0.422,0.835,0.082
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,Ibk,NONE,NONE,NONE,995.0,97.0,12.0,75.0,0.911,0.93,0.828,0.044
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,RandomForest,NONE,NONE,NONE,445.0,105.0,28.0,21.0,0.809,0.955,0.856,0.214
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,NaiveBayes,NONE,NONE,NONE,201.0,23.0,110.0,265.0,0.897,0.431,0.696,0.157
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,Ibk,NONE,NONE,NONE,460.0,124.0,9.0,6.0,0.788,0.987,0.74,0.08
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,RandomForest,NONE,NONE,NONE,1003.0,101.0,59.0,278.0,0.909,0.783,0.678,0.102
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,NaiveBayes,NONE,NONE,NONE,485.0,17.0,143.0,796.0,0.966,0.379,0.702,0.087
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,Ibk,NONE,NONE,NONE,1205.0,137.0,23.0,76.0,0.898,0.941,0.738,0.101
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,RandomForest,NONE,NONE,NONE,580.0,44.0,55.0,49.0,0.929,0.922,0.921,0.468
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,NaiveBayes,NONE,NONE,NONE,375.0,11.0,88.0,254.0,0.972,0.596,0.839,0.238
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,Ibk,NONE,NONE,NONE,605.0,84.0,15.0,24.0,0.878,0.962,0.853,0.152
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,RandomForest,NONE,NONE,NONE,1430.0,804.0,112.0,41.0,0.64,0.972,0.768,0.112
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,NaiveBayes,NONE,NONE,NONE,1152.0,440.0,476.0,319.0,0.724,0.783,0.743,0.311
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,Ibk,NONE,NONE,NONE,1455.0,892.0,24.0,16.0,0.62,0.989,0.577,0.019
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,RandomForest,NONE,NONE,NONE,923.0,118.0,70.0,52.0,0.887,0.947,0.808,0.372
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,NaiveBayes,NONE,NONE,NONE,215.0,5.0,183.0,760.0,0.977,0.221,0.778,0.074
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,Ibk,NONE,NONE,NONE,788.0,141.0,47.0,187.0,0.848,0.808,0.655,0.053
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,RandomForest,NONE,NONE,NONE,1148.0,177.0,478.0,280.0,0.866,0.804,0.859,0.512
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,NaiveBayes,NONE,NONE,NONE,398.0,31.0,624.0,1030.0,0.928,0.279,0.794,0.164
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,Ibk,NONE,NONE,NONE,1265.0,571.0,84.0,163.0,0.689,0.886,0.54,0.017
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,RandomForest,NONE,NONE,NONE,335.0,72.0,110.0,152.0,0.823,0.688,0.716,0.257
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,NaiveBayes,NONE,NONE,NONE,193.0,4.0,178.0,294.0,0.98,0.396,0.791,0.25
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,Ibk,NONE,NONE,NONE,374.0,118.0,64.0,113.0,0.76,0.768,0.68,0.121
